"","GND","Low","Med","Hi","real_mean","real_count"
"139",13.95,0.0146576030320982,0.00253528624359448,0.000340192732571856,0.00774634192273824,287
"140",14.05,0.0143664758278774,0.00245774958258172,0.000325407705740918,0.00800590132621228,315
"141",14.15,0.0140827982486831,0.00238300449320425,0.000311340938458917,0.00691391783788601,307
"142",14.25,0.0138063380140711,0.00231093569588633,0.000297953944189374,0.00635516302971083,329
"143",14.35,0.0135368713515336,0.00224143326618365,0.000285210486486395,0.00545922139057271,370
"144",14.45,0.0132741826398324,0.00217439235916445,0.000273076436748897,0.0050359358160731,439
"145",14.55,0.0130180640691121,0.00210971294931583,0.000261519641624106,0.00370673145365594,507
"146",14.65,0.0127683153169209,0.00204729958502802,0.000250509799362649,0.00369196696646449,586
"147",14.75,0.0125247432393175,0.00198706115677111,0.000240018344480716,0.0031072360557368,704
"148",14.85,0.0122871615762858,0.00192891067813697,0.00023001834013568,0.00261109850515941,815
"149",14.95,0.0120553906707262,0.00187276507897235,0.000220484377661467,0.0024249152449415,995
"150",15.05,0.0118292572003303,0.00181854500987947,0.000211392482760537,0.00205054676574477,1094
"151",15.15,0.0116085939216869,0.00176617465677118,0.000202720027878335,0.00197934733504321,1256
"152",15.25,0.0113932394260007,0.0017155815692962,0.000194445650327028,0.00172734627019774,1456
"153",15.35,0.0111830379058422,0.00166669648919302,0.000186549175755783,0.00155352743802314,1570
"154",15.45,0.0109778389323765,0.00161945320026311,0.000179011546595058,0.00144967274274117,1580
"155",15.55,0.0107774972425497,0.00157378837719633,0.000171814755129878,0.00124194721498832,1803
"156",15.65,0.0105818725357416,0.00152964144610843,0.00016494178088248,0.00131257169159128,1908
"157",15.75,0.0103908292803835,0.00148695445188388,0.000158376532008138,0.00112031283220005,2138
"158",15.85,0.0102042365233357,0.0014456719325309,0.000152103790429571,0.000881722543523736,2994
"159",15.95,0.0100219677219035,0.00140574080014604,0.00014610916045529,0.000725290188918835,3846
"160",16.05,0.00984390056426865,0.00136711022811129,0.000140379020645658,0.000728995547477886,4172
"161",16.15,0.00966991681179029,0.00132973154416903,0.00013490047870742,0.0007005392403181,4653
"162",16.25,0.00949990214252457,0.00129355812904253,0.000129661329213218,0.00071473448347829,4861
"163",16.35,0.00933374600239188,0.00125854532028951,0.000124650013957076,0.000652652841217336,5316
"164",16.45,0.00917134146270818,0.00122465032109545,0.000119855584770325,0.000623090876446096,5928
"165",16.55,0.0090125850837779,0.00119183211373098,0.000115267668634798,0.000579552936610072,6177
"166",16.65,0.0088573767842633,0.00116005137741422,0.000110876434941684,0.000568632194663452,6491
"167",16.75,0.0087056197160584,0.0011292704103345,0.00010667256475499,0.000511276304847516,6549
"168",16.85,0.00855722014441103,0.00109945305560833,0.000102647221948491,0.000448778430973359,6815
"169",16.95,0.00841208733304832,0.00107056463095229,9.87920260940738e-05,0.000389210767097664,7130
"170",17.05,0.00827013343407444,0.00104257186186984,9.5099026987933e-05,0.000357395395852182,7172
"171",17.15,0.0081312733828069,0.0010154428181614,9.15606807088173e-05,0.000323746956721123,7136
"172",17.25,0.00799542479505867,0.000989146853577842,8.81698271098371e-05,0.000276427297210289,7562
"173",17.35,0.0078625078722788,0.000963654548448603,8.4919668652068e-05,0.000237499140884471,7575
"174",17.45,0.00773244530703413,0.000938937655124306,8.18037504944133e-05,0.000223728763703016,7059
"175",17.55,0.00760516219401887,0.000914969046084505,7.88159417600073e-05,0.000196405102671034,6761
"176",17.65,0.00748058594368654,0.000891722664568527,7.59504179048095e-05,0.000175722678302722,6371
"177",17.75,0.00735864620322261,0.000869173477596152,7.32016441190334e-05,0.000169032346298317,5710
