"variable","GND","type","data","alpha","model"
"X98",30.75,"real",0,"Hi",5.29376778536672e-07
"X98",30.95,"real",0,"Hi",5.05459981379701e-07
"X98",4.05,"real",0.238207670512231,"Hi",0.0822996452565
"X98",4.05,"simulated",0.104899219047487,"Hi",0.108244017533578
"X98",4.15,"real",0.219930284819613,"Hi",0.0748554872001451
"X98",4.15,"simulated",0.0968807014979573,"Hi",0.0999841050044963
"X98",4.25,"real",0.213026983077132,"Hi",0.0681242691536367
"X98",4.25,"simulated",0.0897010419624376,"Hi",0.0924107765989699
"X98",4.35,"real",0.193229584927421,"Hi",0.0620361729351713
"X98",4.35,"simulated",0.0828539571594763,"Hi",0.0854644881968154
"X98",4.45,"real",0.191636528989671,"Hi",0.0565279870232665
"X98",4.45,"simulated",0.0762885484205277,"Hi",0.0790907403516344
"X98",4.55,"real",0.184945145666981,"Hi",0.0515425817870098
"X98",4.55,"simulated",0.0712658518222407,"Hi",0.0732397243233916
"X98",4.65,"real",0.176717156578376,"Hi",0.0470283974872291
"X98",4.65,"simulated",0.0663863278883721,"Hi",0.0678659718630012
"X98",4.75,"real",0.16759980159808,"Hi",0.0429389540690979
"X98",4.75,"simulated",0.0615582052771447,"Hi",0.0629280153290225
"X98",4.85,"real",0.153806116903138,"Hi",0.0392323880791509
"X98",4.85,"simulated",0.057454833348302,"Hi",0.0583880625509787
"X98",4.95,"real",0.146093639485982,"Hi",0.0358710199125959
"X98",4.95,"simulated",0.0523982169997825,"Hi",0.0542116892222358
"X98",5.05,"real",0.140828547495999,"Hi",0.0328209527938914
"X98",5.05,"simulated",0.0493041852153072,"Hi",0.0503675503894817
"X98",5.15,"real",0.131479204477122,"Hi",0.0300517036701199
"X98",5.15,"simulated",0.0457806124925079,"Hi",0.0468271117159958
"X98",5.25,"real",0.121619615525701,"Hi",0.0275358653306075
"X98",5.25,"simulated",0.0418888658068857,"Hi",0.0435644006249624
"X98",5.35,"real",0.109571060528416,"Hi",0.0252487985464772
"X98",5.35,"simulated",0.0413893221903061,"Hi",0.0405557764258356
"X98",5.45,"real",0.101086552582226,"Hi",0.023168352234236
"X98",5.45,"simulated",0.038050456021923,"Hi",0.0377797199490381
"X98",5.55,"real",0.0883582851403658,"Hi",0.0212746107650936
"X98",5.55,"simulated",0.0358279338209816,"Hi",0.0352166399828802
"X98",5.65,"real",0.082247639143419,"Hi",0.019549665108077
"X98",5.65,"simulated",0.0326534658130922,"Hi",0.032848696875896
"X98",5.75,"real",0.0769379189524977,"Hi",0.017977406944011
"X98",5.75,"simulated",0.0312988622966303,"Hi",0.0306596415908715
"X98",5.85,"real",0.0623734468295344,"Hi",0.0165433433571022
"X98",5.85,"simulated",0.0287718464722522,"Hi",0.0286346691896334
"X98",5.95,"real",0.0710077914572671,"Hi",0.0152344303420171
"X98",5.95,"simulated",0.0287051621747542,"Hi",0.0267602856348605
"X98",6.05,"real",0.059709620988506,"Hi",0.014038923379649
"X98",6.05,"simulated",0.0243339808608851,"Hi",0.0250241868303419
"X98",6.15,"real",0.0610389780783804,"Hi",0.0129462434483235
"X98",6.15,"simulated",0.0242922662188651,"Hi",0.0234151488702784
"X98",6.25,"real",0.0782296045538692,"Hi",0.0119468569573001
"X98",6.25,"simulated",0.0212991843557005,"Hi",0.0219229285262396
"X98",6.35,"real",0.0699580385766646,"Hi",0.0110321682109222
"X98",6.35,"simulated",0.0198507986259127,"Hi",0.0205381730630027
