"","GND","Low","Med","Hi","real_mean","real_count"
"83",8.35,0.00668256261656697,0.000876077300832469,9.40834050933527e-05,0.00650905823933611,80
"84",8.45,0.00645651028224203,0.000830805686642643,8.72587751269595e-05,0.00641752667718318,89
"85",8.55,0.00624028993191335,0.000788282738217634,8.09864036021502e-05,0.00874109567776051,57
"86",8.65,0.00603338132840228,0.000748317350798414,7.52170844312003e-05,0.00711387245009141,55
"87",8.75,0.00583529653380538,0.00071073334722085,6.99063882336684e-05,0.00669586114839221,71
"88",8.85,0.00564557761575321,0.000675368187067256,6.50141614965903e-05,0.00745748923361383,72
"89",8.95,0.00546379453648606,0.000642071797948772,6.05040820417881e-05,0.00432869498787746,74
"90",9.05,0.00528954320863197,0.000610705516396688,5.63432640546703e-05,0.00659598175377294,73
"91",9.15,0.00512244370312465,0.000581141127220972,5.25019067854222e-05,0.00761588180044291,74
"92",9.25,0.00496213859705047,0.000553259991412011,4.89529817752848e-05,0.00808616616119096,97
"93",9.35,0.00480829144374286,0.000526952253737187,4.56719541038367e-05,0.00472678045523276,115
"94",9.45,0.00466058536868934,0.000502116122134942,4.26365337115787e-05,0.00450076949482888,99
"95",9.55,0.00451872176233283,0.000478657211850928,3.98264533374582e-05,0.00440499771764286,67
"96",9.65,0.00438241907515594,0.000456487948006755,3.72232700332768e-05,0.00619138181447127,61
"97",9.75,0.00425141170129429,0.000435527020953569,3.48101875848224e-05,0.00702379248455036,43
"98",9.85,0.00412544894425319,0.000415698889350214,3.25718974904277e-05,0.00681689259583484,34
"99",9.95,0.00400429405804474,0.000396933326427875,3.04944364277857e-05,0.00691308862391817,34
"100",10.05,0.00388772335765331,0.00037916500536773,2.85650583847156e-05,0.00498451892800687,37
"101",10.15,0.00377552539327572,0.000362333120131773,2.6772119843815e-05,0.00673687307628742,49
"102",10.25,0.00366750018321652,0.000346381038455818,2.51049765985997e-05,0.00447858344699314,49
"103",10.35,0.00356345850114238,0.000331255984042666,2.3553890943282e-05,0.00497650152661441,40
"104",10.45,0.00346322121262243,0.000316908745287272,2.21099481227743e-05,0.0053065789346272,63
"105",10.55,0.00336661865824979,0.00030329340812842,2.07649810564108e-05,0.00648557552805071,47
"106",10.65,0.00327349007891473,0.000290367110856333,1.95115024604917e-05,0.00403630770616315,60
"107",10.75,0.00318368308035793,0.000278089818916132,1.83426435930278e-05,0.00406081460864351,72
"108",10.85,0.0030970531339731,0.000266424117935594,1.72520989306529e-05,0.00541930736493617,72
"109",10.95,0.00301346311113772,0.000255335023374827,1.62340761640619e-05,0.00522128694088776,77
"110",11.05,0.00293278284857421,0.00024478980534737,1.52832509657777e-05,0.00867032711967831,58
"111",11.15,0.00285488874244783,0.000234757827298636,1.43947260436521e-05,0.0099738749904131,79
"112",11.25,0.0027796633690937,0.000225210397350385,1.35639940462328e-05,0.00862961774463844,42
"113",11.35,0.00270699513043471,0.000216120631230294,1.27869039328101e-05,0.00818797315481209,54
